cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
including_summaries_sensitivity,grouped_cv,2,ethyl_acetate,saturating_mobile,same_solvent,7,,,1.2188551826631284,0.15358698456838485,False,0.04518129480707722
including_summaries_sensitivity,grouped_cv,2,hexane,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,grouped_cv,2,hexane,local_mean,same_solvent,12,,2.5213888888888887,,,,
including_summaries_sensitivity,grouped_cv,2,hexane,scaled_lld,same_solvent,12,1.0184999600920905,,,,,
including_summaries_sensitivity,grouped_cv,2,hexane,saturating_mobile,same_solvent,12,,,9999.99999999999,7976.475167029443,True,0.0465763574673991
including_summaries_sensitivity,grouped_cv,2,toluene,fixed_lld,same_solvent,14,1.0,,,,,
including_summaries_sensitivity,grouped_cv,2,toluene,local_mean,same_solvent,14,,0.23686224489795915,,,,
including_summaries_sensitivity,grouped_cv,2,toluene,scaled_lld,same_solvent,14,0.0030609800410389496,,,,,
including_summaries_sensitivity,grouped_cv,2,toluene,saturating_mobile,same_solvent,14,,,0.2731609000213229,0.004217565645638095,False,0.008753577552785342
including_summaries_sensitivity,grouped_cv,3,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,grouped_cv,3,ethyl_acetate,local_mean,same_solvent,7,,1.2342857142857144,,,,
including_summaries_sensitivity,grouped_cv,3,ethyl_acetate,scaled_lld,same_solvent,7,0.2734376599010941,,,,,
including_summaries_sensitivity,grouped_cv,3,ethyl_acetate,saturating_mobile,same_solvent,7,,,3.141812910812291,3.4635773559027663,False,0.203682309979445
including_summaries_sensitivity,grouped_cv,3,hexane,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,grouped_cv,3,hexane,local_mean,same_solvent,12,,3.198333333333333,,,,
including_summaries_sensitivity,grouped_cv,3,hexane,scaled_lld,same_solvent,12,1.0379140749783098,,,,,
including_summaries_sensitivity,grouped_cv,3,hexane,saturating_mobile,same_solvent,12,,,609.927514158326,469.8398471963012,False,0.06527960487394281
including_summaries_sensitivity,grouped_cv,3,toluene,fixed_lld,same_solvent,14,1.0,,,,,
including_summaries_sensitivity,grouped_cv,3,toluene,local_mean,same_solvent,14,,0.24346938775510202,,,,
including_summaries_sensitivity,grouped_cv,3,toluene,scaled_lld,same_solvent,14,0.003071012171391813,,,,,
including_summaries_sensitivity,grouped_cv,3,toluene,saturating_mobile,same_solvent,14,,,0.2820319963923308,0.004527340221169279,False,0.008776091205452726
including_summaries_sensitivity,grouped_cv,4,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,grouped_cv,4,ethyl_acetate,local_mean,same_solvent,7,,1.1033333333333333,,,,
including_summaries_sensitivity,grouped_cv,4,ethyl_acetate,scaled_lld,same_solvent,7,0.26683781285992464,,,,,
including_summaries_sensitivity,grouped_cv,4,ethyl_acetate,saturating_mobile,same_solvent,7,,,4.984377997154741,9.344322215464993,False,0.1325711151226226
