cohort,protocol,model,solvent,n,groups,group_weighted_rmse_nm,rmse_nm,mae_nm,r2
primary,leave_one_solvent_out,local_mean,toluene,35,11,1.9793745319614922,1.9793745030923438,1.977980952380952,-709.4411442029983
primary,leave_one_solvent_out,mean,all,126,36,2.891560496641449,2.2179192345160863,1.2909430902220278,-0.19814440405283462
primary,leave_one_solvent_out,mean,ethyl_acetate,33,9,0.6779880821743156,0.6882950487270001,0.5418279569892475,-0.1419722558365204
primary,leave_one_solvent_out,mean,hexane,58,16,4.152363595844351,3.0439309646974477,1.6638336713995945,-0.22423249538471657
primary,leave_one_solvent_out,mean,toluene,35,11,1.3813501411470208,1.3813163287766168,1.3793186813186813,-344.98594205955277
primary,leave_one_solvent_out,rf_log_interactions,all,126,36,3.63323894898247,3.2788953183482334,1.6127366325176147,-1.6186220014789408
primary,leave_one_solvent_out,rf_log_interactions,ethyl_acetate,33,9,0.7741661777599448,0.7145002162593183,0.5728805751781891,-0.23058322647032048
primary,leave_one_solvent_out,rf_log_interactions,hexane,58,16,3.750348125483051,2.7300334791029193,1.3967682720631862,0.015240335372145086
primary,leave_one_solvent_out,rf_log_interactions,toluene,35,11,4.717275147027553,5.086452082090135,2.951062769619269,-4690.395821194838
primary,leave_one_solvent_out,rf_raw,all,126,36,2.927666152310323,2.4445697050524626,1.255721898579751,-0.4555346878600055
primary,leave_one_solvent_out,rf_raw,ethyl_acetate,33,9,0.6102103123231509,0.5585854075294284,0.43138747600043126,0.24788294993530768
