concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason
0.01,1.56,0.76,0.45,models/feature engineering v1/data FE-V1/toluene+pdms.csv,24,toluene:24,toluene,legacy_individual_reading,1e-05,0.31,toluene:0.01,2.7,0.68,383.75,29.46,True,True,
0.01,1.57,0.72,0.48,models/feature engineering v1/data FE-V1/toluene+pdms.csv,25,toluene:25,toluene,legacy_individual_reading,1e-05,0.24,toluene:0.01,2.7,0.68,383.75,29.46,True,True,
0.015,1.55,0.62,0.44,models/feature engineering v1/data FE-V1/toluene+pdms.csv,26,toluene:26,toluene,legacy_individual_reading,1.4999999999999999e-05,0.18,toluene:0.015,2.7,0.68,383.75,29.46,True,True,
0.015,1.56,0.61,0.46,models/feature engineering v1/data FE-V1/toluene+pdms.csv,27,toluene:27,toluene,legacy_individual_reading,1.4999999999999999e-05,0.14999999999999997,toluene:0.015,2.7,0.68,383.75,29.46,True,True,
0.015,1.57,0.63,0.47,models/feature engineering v1/data FE-V1/toluene+pdms.csv,28,toluene:28,toluene,legacy_individual_reading,1.4999999999999999e-05,0.16000000000000003,toluene:0.015,2.7,0.68,383.75,29.46,True,True,
0.025,1.61,0.57,0.39,models/feature engineering v1/data FE-V1/toluene+pdms.csv,29,toluene:29,toluene,legacy_individual_reading,2.5e-05,0.17999999999999994,toluene:0.025,2.7,0.68,383.75,29.46,True,True,
0.025,1.61,0.56,0.38,models/feature engineering v1/data FE-V1/toluene+pdms.csv,30,toluene:30,toluene,legacy_individual_reading,2.5e-05,0.18000000000000005,toluene:0.025,2.7,0.68,383.75,29.46,True,True,
0.025,1.6,0.56,0.39,models/feature engineering v1/data FE-V1/toluene+pdms.csv,31,toluene:31,toluene,legacy_individual_reading,2.5e-05,0.17000000000000004,toluene:0.025,2.7,0.68,383.75,29.46,True,True,
0.05,1.61,0.64,0.34,models/feature engineering v1/data FE-V1/toluene+pdms.csv,32,toluene:32,toluene,legacy_individual_reading,5e-05,0.3,toluene:0.05,2.7,0.68,383.75,29.46,True,True,
0.05,1.61,0.6,0.35,models/feature engineering v1/data FE-V1/toluene+pdms.csv,33,toluene:33,toluene,legacy_individual_reading,5e-05,0.25,toluene:0.05,2.7,0.68,383.75,29.46,True,True,
0.05,1.6,0.65,0.34,models/feature engineering v1/data FE-V1/toluene+pdms.csv,34,toluene:34,toluene,legacy_individual_reading,5e-05,0.31,toluene:0.05,2.7,0.68,383.75,29.46,True,True,
0.1,1.61,0.78,0.63,models/feature engineering v1/data FE-V1/toluene+pdms.csv,35,toluene:35,toluene,legacy_individual_reading,0.0001,0.15000000000000002,toluene:0.1,2.7,0.68,383.75,29.46,True,True,
0.1,1.61,0.79,0.6,models/feature engineering v1/data FE-V1/toluene+pdms.csv,36,toluene:36,toluene,legacy_individual_reading,0.0001,0.19000000000000006,toluene:0.1,2.7,0.68,383.75,29.46,True,True,
0.1,1.6,0.78,0.6,models/feature engineering v1/data FE-V1/toluene+pdms.csv,37,toluene:37,toluene,legacy_individual_reading,0.0001,0.18000000000000005,toluene:0.1,2.7,0.68,383.75,29.46,True,True,
0.25,1.61,0.79,0.53,models/feature engineering v1/data FE-V1/toluene+pdms.csv,38,toluene:38,toluene,legacy_individual_reading,0.00025,0.26,toluene:0.25,2.7,0.68,383.75,29.46,True,True,
0.25,1.61,0.78,0.47,models/feature engineering v1/data FE-V1/toluene+pdms.csv,39,toluene:39,toluene,legacy_individual_reading,0.00025,0.31000000000000005,toluene:0.25,2.7,0.68,383.75,29.46,True,True,
0.25,1.6,0.86,0.47,models/feature engineering v1/data FE-V1/toluene+pdms.csv,40,toluene:40,toluene,legacy_individual_reading,0.00025,0.39,toluene:0.25,2.7,0.68,383.75,29.46,True,True,
10.0,1.45,0.75,0.65,models/feature engineering v1/data FE-V1/toluene+pdms.csv,41,toluene:41,toluene,legacy_individual_reading,0.01,0.09999999999999998,toluene:10,2.7,0.68,383.75,29.46,True,True,
10.0,1.45,0.74,0.64,models/feature engineering v1/data FE-V1/toluene+pdms.csv,42,toluene:42,toluene,legacy_individual_reading,0.01,0.09999999999999998,toluene:10,2.7,0.68,383.75,29.46,True,True,
10.0,1.46,0.76,0.62,models/feature engineering v1/data FE-V1/toluene+pdms.csv,43,toluene:43,toluene,legacy_individual_reading,0.01,0.14,toluene:10,2.7,0.68,383.75,29.46,True,True,
40.0,1.45,0.85,0.86,models/feature engineering v1/data FE-V1/toluene+pdms.csv,44,toluene:44,toluene,legacy_individual_reading,0.04,-0.010000000000000009,toluene:40,2.7,0.68,383.75,29.46,False,False,invalid_physical_target
40.0,1.45,0.85,0.7,models/feature engineering v1/data FE-V1/toluene+pdms.csv,45,toluene:45,toluene,legacy_individual_reading,0.04,0.15000000000000002,toluene:40,2.7,0.68,383.75,29.46,True,True,
40.0,1.46,0.86,0.74,models/feature engineering v1/data FE-V1/toluene+pdms.csv,46,toluene:46,toluene,legacy_individual_reading,0.04,0.12,toluene:40,2.7,0.68,383.75,29.46,True,True,
50.0,1.45,0.83,0.62,models/feature engineering v1/data FE-V1/toluene+pdms.csv,47,toluene:47,toluene,legacy_individual_reading,0.05,0.20999999999999996,toluene:50,2.7,0.68,383.75,29.46,True,True,
50.0,1.45,0.83,0.64,models/feature engineering v1/data FE-V1/toluene+pdms.csv,48,toluene:48,toluene,legacy_individual_reading,0.05,0.18999999999999995,toluene:50,2.7,0.68,383.75,29.46,True,True,
50.0,1.46,0.83,0.65,models/feature engineering v1/data FE-V1/toluene+pdms.csv,49,toluene:49,toluene,legacy_individual_reading,0.05,0.17999999999999994,toluene:50,2.7,0.68,383.75,29.46,True,True,
50.0,1.49,0.8,0.63,models/feature engineering v1/data FE-V1/toluene+pdms.csv,50,toluene:50,toluene,legacy_individual_reading,0.05,0.17000000000000004,toluene:50,2.7,0.68,383.75,29.46,True,True,
50.0,1.49,0.8,0.66,models/feature engineering v1/data FE-V1/toluene+pdms.csv,51,toluene:51,toluene,legacy_individual_reading,0.05,0.14,toluene:50,2.7,0.68,383.75,29.46,True,True,
50.0,1.48,0.8,0.68,models/feature engineering v1/data FE-V1/toluene+pdms.csv,52,toluene:52,toluene,legacy_individual_reading,0.05,0.12,toluene:50,2.7,0.68,383.75,29.46,True,True,
0.1,1.44,0.87,0.34,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,2,ethyl_acetate:2,ethyl_acetate,legacy_individual_reading,0.0001,0.53,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
0.1,1.46,0.85,0.31,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,3,ethyl_acetate:3,ethyl_acetate,legacy_individual_reading,0.0001,0.54,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
0.1,1.44,0.89,0.35,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,4,ethyl_acetate:4,ethyl_acetate,legacy_individual_reading,0.0001,0.54,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
