cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
primary,ood_low_concentration,low,rf_raw,mobile_nm,87,39,27,9,1.0,1.0944999000572073,0.1727590703404574,0.14720950349863804,0.05147028535244347
primary,ood_low_concentration,low,rf_log_interactions,bonded_nm,87,39,27,9,0.6923076923076923,0.3464517784992781,0.12717979610139957,0.09426081164917703,-0.13244644343938683
primary,ood_low_concentration,low,rf_log_interactions,mobile_nm,87,39,27,9,1.0,2.1686514453281722,0.16458200776933854,0.14303431424344884,0.13913721034486903
primary,ood_high_concentration,high,mean,bonded_nm,99,27,27,9,0.7037037037037037,0.3785964912280701,0.277671090623243,0.20888888888888885,-1.3038217500368892
primary,ood_high_concentration,high,mean,mobile_nm,99,27,27,9,0.5185185185185185,2.2199999999999998,4.283894184350968,2.843086419753086,-0.47016354098896196
primary,ood_high_concentration,high,ridge_raw,bonded_nm,99,27,27,9,0.2222222222222222,0.34020535560204157,1.6817900751854984,1.0978105541829155,-83.514477798579
primary,ood_high_concentration,high,ridge_raw,mobile_nm,99,27,27,9,0.0,1.8157802314931033,18.263338957461073,12.233812688132767,-25.720743462283433
primary,ood_high_concentration,high,ridge_log_interactions,bonded_nm,99,27,27,9,0.37037037037037035,0.34586535101255333,0.39206078300368713,0.29460702871815775,-3.5929778158206442
primary,ood_high_concentration,high,ridge_log_interactions,mobile_nm,99,27,27,9,0.07407407407407407,0.6540512640710178,4.40014871925439,3.55033077995179,-0.5510396114703
primary,ood_high_concentration,high,rf_raw,bonded_nm,99,27,27,9,0.7777777777777778,0.4005808333333335,0.15359488796638512,0.09828431290417372,0.29507799971893234
primary,ood_high_concentration,high,rf_raw,mobile_nm,99,27,27,9,0.14814814814814814,1.9041521825396783,3.2430368698826166,2.379227242063492,0.15745724016858564
primary,ood_high_concentration,high,rf_log_interactions,bonded_nm,99,27,27,9,0.7407407407407407,0.36920674603174714,0.16890040377995785,0.13006257201646068,0.14758925108467735
primary,ood_high_concentration,high,rf_log_interactions,mobile_nm,99,27,27,9,0.1111111111111111,0.8811294047619036,3.5319972862912787,2.8119988763962387,0.0006240335571063849
including_summaries_sensitivity,grouped_cv,1,mean,bonded_nm,112,29,31,9,0.9310344827586207,0.38753623188405784,0.13203530959170004,0.11262007389162561,-0.00030187796403624567
including_summaries_sensitivity,grouped_cv,1,mean,mobile_nm,112,29,31,9,0.8620689655172413,2.6150724637681164,2.4183461035830542,1.2721490147783252,-0.0016427490995916116
including_summaries_sensitivity,grouped_cv,1,ridge_raw,bonded_nm,112,29,31,9,0.7586206896551724,0.39021160211582084,0.1523937548192086,0.11503972928308351,-0.3325553198568214
including_summaries_sensitivity,grouped_cv,1,ridge_raw,mobile_nm,112,29,31,9,0.9655172413793104,3.741163773530564,2.4262198079147783,1.42425143892514,-0.008175707791214126
including_summaries_sensitivity,grouped_cv,1,ridge_log_interactions,bonded_nm,112,29,31,9,0.9655172413793104,0.3537758151306812,0.09340968014129555,0.07112086848405093,0.49934947278519615
including_summaries_sensitivity,grouped_cv,1,ridge_log_interactions,mobile_nm,112,29,31,9,0.6206896551724138,1.8909903968699509,1.6414182019010712,0.8970316191576407,0.5385608583269317
including_summaries_sensitivity,grouped_cv,1,rf_raw,bonded_nm,112,29,31,9,1.0,0.4308466666666671,0.06561600907981267,0.05017211767638469,0.7529581493757458
including_summaries_sensitivity,grouped_cv,1,rf_raw,mobile_nm,112,29,31,9,0.8620689655172413,0.8658231507381501,0.8120460841406406,0.3198514419345029,0.8870627278783365
including_summaries_sensitivity,grouped_cv,1,rf_log_interactions,bonded_nm,112,29,31,9,0.9655172413793104,0.46327702380952496,0.09828200694272322,0.06715991612314863,0.4457586286833687
including_summaries_sensitivity,grouped_cv,1,rf_log_interactions,mobile_nm,112,29,31,9,0.6206896551724138,1.2120656730482156,1.3745758060195512,0.7908972251311907,0.6763964092594414
including_summaries_sensitivity,grouped_cv,2,mean,bonded_nm,113,28,33,7,0.8928571428571429,0.46526315789473693,0.20814454315508502,0.13558470290771177,-0.05751896131124257
including_summaries_sensitivity,grouped_cv,2,mean,mobile_nm,113,28,33,7,0.8928571428571429,3.730000000000001,2.9442168750802007,1.7106953223767383,-0.14827555431637585
including_summaries_sensitivity,grouped_cv,2,ridge_raw,bonded_nm,113,28,33,7,0.8928571428571429,0.47346883151066116,0.19337243994145692,0.13716329290868412,0.08725963333922948
including_summaries_sensitivity,grouped_cv,2,ridge_raw,mobile_nm,113,28,33,7,0.8928571428571429,3.467315675843562,2.708329872753371,1.597995396652094,0.028350471904930452
