cohort,protocol,model,target,n,groups,rmse_nm,mae_nm,r2,group_weighted_rmse_nm,descriptive_rmse_p025,descriptive_rmse_p975,row_coverage_80,group_simultaneous_coverage_80,mean_width_nm
including_summaries_sensitivity,ood_high_concentration,ridge_raw,mobile_nm,30,9,17.642138890655794,12.372535779154637,-25.028478564075172,14.04420059466791,3.696949294625296,21.055389426139726,0.0,0.0,1.2627707732003883
including_summaries_sensitivity,ood_low_concentration,mean,bonded_nm,42,9,0.1301073734921259,0.11645021645021647,-0.2555867412751647,0.13089608404331934,0.09064538070052229,0.16653878258600316,0.8809523809523809,0.7777777777777778,0.42603174603174604
including_summaries_sensitivity,ood_low_concentration,mean,mobile_nm,42,9,1.2175603694734582,1.20512987012987,-48.2259994925574,1.1981548207524761,1.072244162733595,1.2957132646528793,1.0,1.0,3.058730158730159
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,bonded_nm,42,9,0.11884338938081056,0.08640425569470213,-0.04759389783837786,0.10944476489541385,0.06864660523609796,0.14490368077446333,0.7857142857142857,0.6666666666666666,0.3406079761904755
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,mobile_nm,42,9,0.16624769344956156,0.13834382262248338,0.08224915623923734,0.15044951565856624,0.09454617676093777,0.19900628714657376,1.0,1.0,2.3236687873634296
including_summaries_sensitivity,ood_low_concentration,rf_raw,bonded_nm,42,9,0.13457603034287943,0.10073430718421789,-0.3433164361537595,0.12201027108560529,0.07242115158222251,0.16290744394121356,0.8095238095238095,0.6666666666666666,0.39377222222222247
including_summaries_sensitivity,ood_low_concentration,rf_raw,mobile_nm,42,9,0.17453640623519662,0.14445581001339936,-0.011545900330772518,0.15713323482846064,0.09680502498332534,0.20845200982071369,1.0,1.0,1.2618044126211079
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,bonded_nm,42,9,0.12941479129162803,0.09979289621381233,-0.24225494456901542,0.12633308337331323,0.08844006410256346,0.1586929549990385,0.8333333333333334,0.7777777777777778,0.4685696284792458
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,mobile_nm,42,9,0.9523408065278998,0.8208220594130666,-29.116071719504685,0.8925772350353645,0.593410508151562,1.1341511584734256,0.5476190476190477,0.5555555555555556,2.6068551963551827
including_summaries_sensitivity,ood_low_concentration,ridge_raw,bonded_nm,42,9,0.15387034597437502,0.11380763520177821,-0.756114230067743,0.15341566585541574,0.07273537980154439,0.2164375394895511,0.7857142857142857,0.7777777777777778,0.45942129516874874
including_summaries_sensitivity,ood_low_concentration,ridge_raw,mobile_nm,42,9,1.8757463953351723,1.4832982488690665,-115.83199063079931,1.7563982662716588,0.9686009931499849,2.3182447138726503,0.5,0.5555555555555556,4.1403202408596105
primary,grouped_cv,mean,bonded_nm,126,36,0.1669848044781739,0.1295900729288615,-0.07268109976612758,0.16991836149857928,0.11693352716363586,0.22389310623052497,0.7936507936507936,0.7222222222222222,0.37935266741165197
primary,grouped_cv,mean,mobile_nm,126,36,2.0456996401278014,1.2410356145605221,-0.019298644549024857,2.6779213701031446,1.0655446812759508,4.03418267739591,0.8650793650793651,0.8055555555555556,2.7924074900148295
primary,grouped_cv,rf_log_interactions,bonded_nm,126,36,0.12368301805888945,0.09483036772530812,0.41151300183399997,0.13598128285789776,0.09970481335967178,0.17249804957589424,0.7619047619047619,0.6666666666666666,0.35002583768524226
primary,grouped_cv,rf_log_interactions,mobile_nm,126,36,1.2610265850963878,0.6323671561521524,0.6126833256414448,1.4011347837786927,0.7057643995645292,1.9980516763742258,0.9047619047619048,0.8611111111111112,3.3152432485090966
